id,index_number,status,case_title,plaintiff,defendant,court,case_type,filing_date,wage_theft_reason,search_keyword,source_url
1,Not Assigned,Waiting for Index Number Pre-RJI,Workers' Compensation Board of the State of New York vs EL PUNTO BORICUA RESTAURANT INC,Workers' Compensation Board of the State of New York vs EL PUNTO BORICUA RESTAURANT INC,,Erie County Supreme Court Other Matters - Workers Comp App for Judgment,,04/09/2026,keyword: 'compensation',Restaurant,DocumentList?docketId=PbHhsU5mtNkUc9dJonOArQ==&display=all&courtType=Erie County Supreme Court&resultsPageNum=1
2,Not Assigned,Waiting for Index Number Pre-RJI,Workers' Compensation Board of the State of New York vs KABAYAN RESTAURANT & BAKERY INC,Workers' Compensation Board of the State of New York vs KABAYAN RESTAURANT & BAKERY INC,,Queens County Supreme Court Other Matters - Workers Comp App for Judgment,,04/09/2026,keyword: 'compensation',Restaurant,DocumentList?docketId=O7//6TPWnIeyNPBNdYHSaQ==&display=all&courtType=Queens County Supreme Court&resultsPageNum=1
3,Not Assigned,Waiting for Index Number Pre-RJI,Workers' Compensation Board of the State of New York v. NIAGARA COMO RESTAURANT LLC,Workers' Compensation Board of the State of New York,NIAGARA COMO RESTAURANT LLC,Niagara County Supreme Court Other Matters - Workers Comp App for Judgment,,03/31/2026,keyword: 'compensation',Restaurant,DocumentList?docketId=vBCsbEB6k6eDSsC29c_PLUS_buQ==&display=all&courtType=Niagara County Supreme Court&resultsPageNum=1
4,Not Assigned,Waiting for Index Number Pre-RJI,Workers' Compensation Board of the State of New York v. 3873 NY 9L LLC DBA EAST COVE RESTAURANT,Workers' Compensation Board of the State of New York,3873 NY 9L LLC DBA EAST COVE RESTAURANT,Warren County Supreme Court Other Matters - Workers Comp App for Judgment,,12/10/2025,keyword: 'compensation',Restaurant,DocumentList?docketId=r55u4D4pBm1WLTUxHiTbjg==&display=all&courtType=Warren County Supreme Court&resultsPageNum=1
5,Not Assigned,Waiting for Index Number Pre-RJI,Workers' Compensation Board of the State of New York vs MELANIE'S ROTI & GRILL RESTAURANT INC,Workers' Compensation Board of the State of New York vs MELANIE'S ROTI & GRILL RESTAURANT INC,,Bronx County Supreme Court Other Matters - Workers Comp App for Judgment,,10/23/2025,keyword: 'compensation',Restaurant,DocumentList?docketId=jkmiTfVSdtE7S7cQUQZkJg==&display=all&courtType=Bronx County Supreme Court&resultsPageNum=1
6,Not Assigned,Waiting for Index Number Pre-RJI,NYC Department of Consumer and Worker Protection v. 127 Westchester Sq Restaurant LLC,NYC Department of Consumer and Worker Protection,127 Westchester Sq Restaurant LLC,Bronx County Supreme Court Other Matters - Contract - Other,,08/14/2024,keyword: 'worker',Restaurant,DocumentList?docketId=9UmfSvRKFoI9Dn6_PLUS_T2smvA==&display=all&courtType=Bronx County Supreme Court&resultsPageNum=3
7,Not Assigned,Waiting for Index Number Pre-RJI,NYC Department of Consumer & Worker Protection v. 127 Westchester Sq Restaurant LLC,NYC Department of Consumer & Worker Protection,127 Westchester Sq Restaurant LLC,Bronx County Supreme Court Other Matters - Contract - Other,,08/13/2024,keyword: 'worker',Restaurant,DocumentList?docketId=nzFiBVuSlLZVaGRVWo7/qQ==&display=all&courtType=Bronx County Supreme Court&resultsPageNum=3
8,Not Assigned,Waiting for Index Number Pre-RJI,Workers' Compensation Board of the State of New York vs LAYLA'S AUTHENTIC SPANISH RESTAURANT LLC,Workers' Compensation Board of the State of New York vs LAYLA'S AUTHENTIC SPANISH RESTAURANT LLC,,Onondaga County Supreme Court Other Matters - Workers Comp App for Judgment,,08/08/2024,keyword: 'compensation',Restaurant,DocumentList?docketId=LeztOvulnLJxaMzewCisUA==&display=all&courtType=Onondaga County Supreme Court&resultsPageNum=3
9,Not Assigned,Waiting for Index Number Pre-RJI,Workers' Compensation Board of the State of New York v. LA RUBIA RESTAURANT INC DBA EL NUEVO TROPICAL RESTAURANT et al,Workers' Compensation Board of the State of New York,LA RUBIA RESTAURANT INC DBA EL NUEVO TROPICAL RESTAURANT et al,New York County Supreme Court Other Matters - Workers Comp App for Judgment,,03/28/2024,keyword: 'compensation',Restaurant,DocumentList?docketId=r6FtZId7GjBlLf8K4E7xew==&display=all&courtType=New York County Supreme Court&resultsPageNum=4
10,Not Assigned,Waiting for Index Number Pre-RJI,Workers' Compensation Board of the State of New York v. EL PATRON RESTAURANT BAR,Workers' Compensation Board of the State of New York,EL PATRON RESTAURANT BAR,Suffolk County Supreme Court Other Matters - Workers Comp App for Judgment,,02/22/2024,keyword: 'compensation',Restaurant,DocumentList?docketId=Cp1jYSMqROgF5ivAL9ZqgA==&display=all&courtType=Suffolk County Supreme Court&resultsPageNum=4
